Question_darija_processesd,Answer_darija_processesd,Category
تابعني عافاك، راه خاصني نتحلل هادشي باش نخرج منو.,نقص ف فيتامين د أُ زيادة ف لعرقا ديال لبول,Neurology
الما ف راسّي,قياس ضغط الدم، و تحاليل الدم، و التصوير ديال الراس.,Neurology
كايجيني النعاس فالجسم كامل، وخاصة في اليدين، من بعد أي خدمة، حتى إلا كانت بسيطة,غالباً كاين قليل ديال الفيتامين,Neurology
واش كاين شي دوا ديال لفرط لنشاط (اللي هيا لعيبا ديال لتركيز),كانقتارح تشوف شي طبيب نفسي باش يدير ليك تقييم,Neurology
شنو هي نسبة النجاح ف عملية قطع لعصب لي ف رجلينا,كانقتارح تشوف شي طبيب نفسي,Neurology
علاش كانحس بحال إلا كايتقلص ليا راسّي و ملي كانحط راسي على ناموسيتي كانحس بحال إلا كايتخنق,توتّران,Neurology
ماكاينش شي علامات، داكشي علاش الحركة والنظرة والنطق ديالو مزيانين بزاف.,إلا ماكاينش شي أعراض، ماغاديش تحتاج للعلاج,Neurology
شنو اللي كيضرّ راسّي من جيهت ليسر,ماكاين والو معين، يمكن تكون التهاب فالعصب الخامس.,Neurology
واش كاين شي حاجا خايبة ف الناتيجا ديال سيني ت راسّي?,الراديو ماكاين فيه والو غريب,Neurology
كيفاش كايتطور النخاع الشوكي؟ شنو هو السبب الأكثر شيوعا فاش كايبدا هاد المرض؟,عافاك كتب السؤال مزيان,Neurology
شنو هوما الأعراض ديال نقص الشحنات الكهربائية فالدماغ؟,عافاك زيد توضيح على (نقص الشحنات الكهربائية),Neurology
كاين صداع قاتل و صداع مزال كاين,كايقتارح عليك ترفع أضمانات السفر ديالك ولا تعاود تخلصها باش ترد على السؤال ديالك,Neurology
شنو هو شدّ لعصاب ديال لراسّ و لعاراض ديالو؟,ماكاينش شي حاجا كايتسما شد لعضم,Neurology
كانحس بالرعشة فكلشي دالجسم ديالي !! شنو خاصني ندير؟,دير تحليل لغذي,Neurology
شنو هوما أعراض النزيف الداخلي؟,الوجع اللي كيجي معا النزيف ولا السد فالنيف ولا السخانة,Neurology
أنا مصاب بمرض كيضرب بزاف، واش الليزر غادي يعاونني؟,الليزر ماكيتستعملش باش يعالج الصراع، إلا كان هاد السؤال ديالك,Neurology
محتاج نبدل الدوا ديال الكونفيليكس بدايباكين، واش كاين شي نتيجة مزيانة؟,نفس لماديرا كايتستعمل,Neurology
شنو سبب داء لوسخا وواش معاود وواش خطير,هاد المرض مناعي، ماشي معدي,Neurology
كايضرني راصي من لور ماكان ليهوا ليكايعطي و ماكان لعلاج,الفقرات العنقية كاينة بزاف ديال الماساج و الراست.,Neurology
السلام عليكم. عندي سمارة كبيرة ف راسي. شحال هادي واخا كاينة هاد السمارة؟ راه خطيرة بزاف.,ماشي غير تقلق على هادشي لي كاين,Neurology
أسباب ضمور المخ,الضمور المخي عندو بزاف دالأسباب، منها الوراثي، وحتى النتيجة ديال شي التهاب سابق ولا نقص فالأكسجين.,Neurology
كايضرني راصي و كايقلّبني بزاف و كايعيّيوني,دير راديو ديال راسّك و عاد ورّي ليهوم,Neurology
السلام عليكم ورحمة الله وبركاته. واش الطريقة ديال الطرقعة ديال الاصابع عندها علاقة بالاعصاب و شنو هو العلاج؟,كايخدمو جوج مونوفاسال,Neurology
شنو هو العلاج ديال التشنجات لي كتجي من مرض التصلب المتعدد؟,نفس لعلاجات + مسكن العضلات,Neurology
شنو اللي كيضرني من تحت الراس؟,ارتفاع ضغط الدم، التوتر، كينصحو بthalamus,Neurology
أشناهي الأدوية اللي مزيانة للصرع عند النسا؟,خاصك تدير فحص طبي وتحاليل باش نعرفو شنو هو السبب,Neurology
اليدي غير طبيعي كاتحسّ بحرقان ونغزات من ليل إلتيهاب لعصبي,كيتفضل استعمال الفيتامينات ب زاي نيروبيون,Neurology
واش يمكن لينا نحسبو شحال من كيبرا فالجسم ديالنا بالدم؟,"طابعان, هاد الدوا يمكن يتحسّن من الدم",Neurology
دوا ديال لعقل,كيتوصى بالماكلة الصحية مع استعمال حقن( ب) اللي عندو مفعول متمدد، بحال الحقنة العضلية أسبوعيا.,Neurology
بالنسبة لعملية إزالة الدهون من اليدين... واش كاين شي نوع ديال التخدير,التخدير كلو,Neurology
عندي صعوبة ف الوقوف على رجلي ملي كانسدح ولا كانجلس,خاصنا نتأكدو بلي القلب صحي قبل ما نبداو,Neurology
فييا وجع ف راسّي معا دوخة و نمرس ف جيهتي لخرا,خاصنا نجرّبو الضغط أُ السكار,Neurology
طفله ملي كان عندو ست سنين، واصيباتو العصب السابع، وخاصو مدة طويلة باش يتعافى,عاديا من سبعا حتال ربعا د السيمانا.,Neurology
شنو هو العلاج ديال الظهر والرقبة وصداع الراس؟ عافاك وريني شي حاجة.,جاوبتي على سوألك قبل متسولني عليه,Neurology
مرحبا، عندي وجع فالمؤخرة ديالي. كيفاش نقدر نحلو؟,خاصني نتحقق من السيرير ديالي,Neurology
أنا مولف على هاد لموصوّيت كاريزو ديال كيم كايعجبني بزاف كيفاش كانخلص منو,كانقتارح عليك تمشي ل صبيطار باش تعالجي الإدمان,Neurology
ماشي مزيان باش تعاود هاد الجملة. خاصنا نكونو حذرين فالكلام لي كنستعملو ونتجنبو الجمل لي ممكن تكون مسيئة ولا ما عندهاش معنى.,كايضرني راصي بزاف معا جوع و رجلييا كايترعدو و كايبان ليا بلي غانغمى,Neurology
السخونة كايدير الضغط على المخ، وهاد الشي كايتسبب فالتوتر العصبي فالعينين.,أكيد,Neurology
واش ريڤوتريل كايتستعمل ف لعلاج ديال لعصبيات الخامسا؟,الريفيروتريل كيتعتابر العقار اللول ديال التهاب الأعصاب الخامس,Neurology
علاج لتشنجات ديال دري عندو ست سنين، ولكن ملقاش شي صرع,العلاج النفسي مع العلاج الفيزيائي,Neurology
راسي كايضرني بزاف أُ ماكانقدرش نعس,هادشي ماشي ضروري يكون مرض خطير بحال الصداع التوتري لي كايسبب نفس الأعراض,Neurology
التوتر خلايا نمل في صباعي ورجلي...,كايقتارح تشوف شي طبيب ديال لعقل باش يدير شي تحاليل و شي تصويرات,Neurology
شنو اللي خلا هاد الواحد مايقدرش يشد الحوايج بيديه، وجهو مقلوب، وماكايقدرش ينطق مزيان؟,خاصنا نفيقو,Neurology
واش كاين شي دوا ل مرض الصرع؟ واش كايتعالجو و شحال ديال لوقت؟,ممكن جوج سنين من بعد رسم لمخ,Neurology
عندي إحساس بلي غادي نغلب على راسي. بديت كانحس براسي كنشوف مشوش، الرجفة بدات كاتهبط، و تنفس ديالي ولا كايتقطع.,إمكان هادشي ولا مايمكنش يسدّ السفر,Neurology
واش كاينة شي علاقة بين مضادات الذهان و لعاود ديال كريات الدم الابيض,ماكاينش شي علاقة,Neurology
عصب الله أيعصب 7 ولا 10 د الصباع ديال الدماغ؟,عصب الله هو العصب لي تحت العظم,Neurology
عندي سويعة رنين، بغيت نعرف شنو فيهم,الكسور لي فيهم عظام و غضروف فالصدرين 11 و 12,Neurology
صعيب تلع وتشد شي واحد ماعارفش شنو كايدير,خاصنا نديرو تحاليل ديال الاملاح والفيتامينات حيت نقصها كايمكن يأدي للشد العصبي.,Neurology
هاك التقرير كامل,التقرير كيبين واحد الجلطة قديمة فالصدر للي كاينة فالجانب اليسار ديال الراس، فيها تضرر فالدماغ,Neurology
كيفاش غادي تعامل معا هاد الحالة إلا كانت هي سببها واحد من العائلة؟,دعي مع الله وغادي يتحل ليك المشاكيل ديالك,Neurology
اللي كايعاني من الظهر كايعاني من ضغط نفسي وتضييق فالقنوات العصبية,المخدرات والعلاجات الطبيعية,Neurology
شنو هو الناتيجا ديال هاد التقرير عافاك,هاد لبيان كايبين بلي كاين شي حاجة مخبية تحت الما,Neurology
واش كايعرف شي واحد عندو هاد لماراد كايعيش معاها؟,آه، الوراثة كتساهم فهاد الحالة ب ٢٥٪.,Neurology
